date,symbol,open,high,low,close,volume
2024-01-01,AAPL,149.50,151.25,149.25,150.00,1000000
2024-01-02,AAPL,150.25,152.00,150.10,151.50,1100000
2024-01-03,AAPL,151.25,151.75,149.25,149.75,950000
2024-01-04,AAPL,149.80,153.00,149.50,152.25,1200000
2024-01-05,AAPL,152.00,153.50,151.75,153.00,1050000
2024-01-01,GOOGL,199.50,201.00,198.75,200.00,500000
2024-01-02,GOOGL,200.25,202.00,200.00,201.50,520000
2024-01-03,GOOGL,201.25,201.75,199.00,199.75,480000
2024-01-04,GOOGL,199.80,203.00,199.50,202.25,550000
2024-01-05,GOOGL,202.00,203.50,201.75,203.00,510000
